CustomerID,Age,Gender,State,Operator,SIMTenureMonths,RechargeAmount,RechargeFrequencyDays,DataUsageGB,CallMinutes,SMSUsage,PlanType,NetworkComplaints,DroppedCalls,LateRechargeDays,CustomerSupportCalls,SatisfactionScore,PortRequest,Churn
CUST00001,28,Male,Delhi,Vi,9,149,21,36.84,418,24,Prepaid,3,6,23,3,2,No,No
CUST00002,32,Female,Karnataka,Jio,107,99,28,22.42,910,49,Prepaid,1,6,0,4,3,No,No
CUST00003,33,Female,Gujarat,Jio,35,799,30,26.98,302,78,Postpaid,1,12,7,1,4,No,No
CUST00004,33,Female,Rajasthan,Airtel,90,299,45,25.53,759,51,Prepaid,0,12,0,0,5,No,No
CUST00005,27,Male,Tamil Nadu,Airtel,6,299,35,10.86,944,26,Prepaid,0,7,3,0,4,No,No
CUST00006,26,Male,Telangana,Vi,54,99,21,37.47,607,16,Prepaid,1,6,5,1,4,No,No
CUST00007,31,Male,Maharashtra,Others,89,1199,30,22.01,106,15,Postpaid,3,17,0,2,3,No,No
CUST00008,18,Female,Uttar Pradesh,Jio,115,399,28,17.44,249,44,Prepaid,0,0,13,1,4,No,No
CUST00009,18,Female,West Bengal,Vi,32,239,35,23.09,606,25,Prepaid,5,19,0,3,1,No,Yes
CUST00010,36,Female,West Bengal,Jio,1,799,28,14.71,946,57,Prepaid,1,6,18,1,4,No,No
CUST00011,36,Male,Telangana,Airtel,39,239,21,42.33,64,43,Prepaid,3,12,19,4,4,No,No
CUST00012,46,Female,Uttar Pradesh,Jio,12,1199,35,46.15,1076,128,Postpaid,0,13,0,0,4,No,No
CUST00013,32,Female,Kerala,Jio,33,699,30,10.64,631,29,Postpaid,5,25,0,3,2,No,Yes
CUST00014,21,Male,Karnataka,Jio,42,499,28,66.13,876,22,Prepaid,1,14,2,1,4,No,No
CUST00015,18,Male,Tamil Nadu,Jio,42,299,45,55.39,499,65,Prepaid,4,16,7,2,3,No,Yes
CUST00016,24,Male,Maharashtra,BSNL,36,1999,45,8.4,206,28,Postpaid,0,0,1,0,5,No,No
CUST00017,40,Male,Maharashtra,Vi,37,239,35,17.62,948,81,Prepaid,0,6,0,1,5,No,No
CUST00018,52,Male,Gujarat,Others,4,299,21,11.19,433,5,Prepaid,9,37,12,6,1,Yes,Yes
CUST00019,36,Male,Maharashtra,Airtel,112,99,28,16.67,234,12,Prepaid,0,4,3,0,5,No,No
